"rk","name","pos","age","team_abbr","g","gs","mp","fg","fga","fg_percent","x3p","x3pa","x3p_percent","x2p","x2pa","x2p_percent","e_fg_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","id","player_image","team_logo"
373,"Jerome Robinson","SG",26,"GSW",1,0,5,0,2,0,0,0,NA,0,2,0,0,0,0,NA,1,1,2,0,0,0,0,0,0,"3943606","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3943606.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gsw.png"
374,"Mitchell Robinson","C",25,"NYK",20,20,595,53,92,0.576,0,0,NA,53,92,0.576,0.576,14,36,0.389,107,101,208,13,31,27,20,38,120,"4351852","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4351852.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/nyk.png"
375,"Orlando Robinson","C",23,"MIA",6,1,96,18,31,0.581,4,4,1,14,27,0.519,0.645,3,4,0.75,7,17,24,12,2,3,6,11,43,"4593049","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4593049.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mia.png"
376,"Jeremiah Robinson-Earl","PF",23,"NO",8,1,98,13,25,0.52,6,11,0.545,7,14,0.5,0.64,6,6,1,8,14,22,5,2,0,6,9,38,"4432813","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432813.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png"
377,"David Roddy","PF",22,"MEM",19,4,451,64,148,0.432,19,62,0.306,45,86,0.523,0.497,12,17,0.706,20,59,79,21,12,8,17,31,159,"4593041","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4593041.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png"
378,"Ryan Rollins","PG",21,"WAS",8,0,49,9,18,0.5,1,2,0.5,8,16,0.5,0.528,13,16,0.813,2,8,10,10,8,2,7,6,32,"4591725","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4591725.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/was.png"
379,"Derrick Rose","PG",35,"MEM",10,2,190,39,83,0.47,8,21,0.381,31,62,0.5,0.518,11,13,0.846,6,14,20,31,5,1,12,11,97,"3456","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3456.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png"
380,"Terry Rozier","SG",29,"CHA",9,9,324,77,166,0.464,20,54,0.37,57,112,0.509,0.524,29,36,0.806,5,28,33,59,9,3,23,13,203,"3074752","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3074752.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png"
381,"Rayan Rupert","SG",19,"POR",7,0,31,1,12,0.083,1,6,0.167,0,6,0,0.125,2,4,0.5,1,0,1,2,2,0,2,1,5,"5099752","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5099752.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png"
382,"D'Angelo Russell","PG",27,"LAL",22,22,673,138,288,0.479,49,121,0.405,89,167,0.533,0.564,43,55,0.782,9,63,72,143,17,12,38,44,368,"3136776","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3136776.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png"
383,"Matt Ryan","SF",26,"NO",13,1,298,38,83,0.458,32,68,0.471,6,15,0.4,0.651,13,14,0.929,5,25,30,14,5,1,16,24,121,"3908336","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3908336.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png"
384,"Domantas Sabonis","C",27,"SAC",19,19,667,136,236,0.576,10,25,0.4,126,211,0.597,0.597,79,116,0.681,65,161,226,135,17,16,56,67,361,"3155942","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3155942.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png"
385,"Luka Samanic","PF",24,"UTAH",9,0,55,9,24,0.375,3,11,0.273,6,13,0.462,0.438,1,1,1,3,13,16,2,1,2,4,5,22,"4423309","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4423309.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png"
386,"Jermaine Samuels","SF",25,"HOU",5,0,29,2,4,0.5,0,2,0,2,2,1,0.5,2,2,1,1,6,7,2,0,1,0,3,6,NA,"https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/NA.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png"
387,"Gui Santos","PF",21,"GSW",2,0,12,2,4,0.5,0,1,0,2,3,0.667,0.5,0,0,NA,2,2,4,1,0,0,2,2,4,"4997536","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4997536.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gsw.png"
388,"Dario Saric","C",29,"GSW",20,4,433,74,163,0.454,32,85,0.376,42,78,0.538,0.552,32,38,0.842,30,87,117,49,14,6,21,47,212,"3032978","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3032978.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gsw.png"
389,"Olivier Sarr","C",24,"OKC",5,0,54,3,6,0.5,2,3,0.667,1,3,0.333,0.667,4,6,0.667,4,16,20,1,0,5,2,10,12,"4278046","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278046.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/okc.png"
390,"Marcus Sasser","PG",23,"DET",20,0,371,65,141,0.461,27,68,0.397,38,73,0.521,0.557,9,9,1,3,36,39,57,14,3,16,30,166,"4432107","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432107.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/det.png"
391,"Admiral Schofield","PF",26,"ORL",5,0,18,2,7,0.286,1,6,0.167,1,1,1,0.357,0,2,0,0,1,1,1,0,0,1,2,5,"3918423","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3918423.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png"
392,"Dennis Schroder","PG",30,"TOR",20,20,632,113,260,0.435,36,102,0.353,77,158,0.487,0.504,55,64,0.859,10,50,60,140,18,2,35,39,317,"3032979","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3032979.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png"
393,"Dereon Seabron","SG",23,"NO",5,0,52,4,13,0.308,1,2,0.5,3,11,0.273,0.346,5,6,0.833,1,6,7,4,2,1,0,4,14,"4431811","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431811.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png"
394,"Alperen Sengun","C",21,"HOU",17,17,556,147,272,0.54,15,47,0.319,132,225,0.587,0.568,48,71,0.676,45,111,156,94,16,13,43,53,357,"4871144","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4871144.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png"
395,"Brice Sensabaugh","SF",20,"UTAH",1,0,2,0,2,0,0,0,NA,0,2,0,0,0,0,NA,1,1,2,0,0,0,0,0,0,"5105839","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5105839.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png"
396,"Collin Sexton","SG",25,"UTAH",20,0,414,85,188,0.452,23,68,0.338,62,120,0.517,0.513,58,66,0.879,18,34,52,64,8,4,41,34,251,"4277811","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277811.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png"
397,"Landry Shamet","SG",26,"WAS",15,0,253,48,101,0.475,24,60,0.4,24,41,0.585,0.594,5,11,0.455,2,19,21,22,9,2,9,31,125,"3914044","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3914044.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/was.png"
398,"Day'Ron Sharpe","C",22,"BKN",19,0,298,49,86,0.57,0,4,0,49,82,0.598,0.57,26,41,0.634,43,79,122,15,7,13,20,41,124,"4432194","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432194.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bkn.png"
399,"Shaedon Sharpe","SG",20,"POR",19,18,703,117,283,0.413,37,109,0.339,80,174,0.46,0.479,65,77,0.844,29,77,106,64,21,8,58,58,336,"4914336","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4914336.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png"
400,"Ben Sheppard","SG",22,"IND",9,0,58,9,22,0.409,5,15,0.333,4,7,0.571,0.523,2,2,1,1,4,5,5,1,0,1,6,25,"4433076","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433076.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png"
401,"Pascal Siakam","PF",29,"TOR",20,20,686,154,323,0.477,16,81,0.198,138,242,0.57,0.502,76,102,0.745,33,110,143,99,15,4,53,46,400,"3149673","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3149673.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png"
402,"Ben Simmons","PG",27,"BKN",6,6,191,19,36,0.528,0,0,NA,19,36,0.528,0.528,1,4,0.25,16,49,65,40,3,5,15,16,39,"3907387","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3907387.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bkn.png"
403,"Anfernee Simons","SG",24,"POR",1,1,27,6,14,0.429,2,6,0.333,4,8,0.5,0.5,4,4,1,1,1,2,4,2,0,0,2,18,"4351851","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4351851.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png"
404,"Jericho Sims","C",25,"NYK",9,0,25,2,3,0.667,0,0,NA,2,3,0.667,0.667,1,3,0.333,1,9,10,1,0,0,1,1,5,"4277922","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277922.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/nyk.png"
405,"Jalen Slawson","SF",24,"SAC",4,0,17,2,3,0.667,0,1,0,2,2,1,0.667,0,0,NA,0,4,4,2,0,1,1,1,4,"4398207","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4398207.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png"
406,"Marcus Smart","PG",29,"MEM",11,11,329,51,119,0.429,18,61,0.295,33,58,0.569,0.504,17,21,0.81,3,24,27,55,22,4,37,35,137,"2990992","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2990992.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png"
407,"Dennis Smith Jr.","PG",26,"BKN",12,0,207,30,73,0.411,7,22,0.318,23,51,0.451,0.459,7,9,0.778,9,27,36,41,9,3,12,25,74,"4065697","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4065697.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bkn.png"
408,"Dru Smith","SG",26,"MIA",9,0,131,15,33,0.455,7,17,0.412,8,16,0.5,0.561,2,2,1,6,8,14,14,9,3,5,12,39,"4066993","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066993.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mia.png"
409,"Ish Smith","PG",35,"CHA",12,0,191,20,34,0.588,1,2,0.5,19,32,0.594,0.603,0,0,NA,4,19,23,28,5,1,15,14,41,"4305","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4305.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png"
410,"Jabari Smith Jr.","PF",20,"HOU",17,17,513,90,178,0.506,29,81,0.358,61,97,0.629,0.587,17,23,0.739,25,108,133,25,11,14,22,57,226,"4432639","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432639.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png"
411,"Jalen Smith","C",23,"IND",14,0,216,53,75,0.707,14,21,0.667,39,54,0.722,0.8,20,27,0.741,20,57,77,12,5,4,15,29,140,"4397189","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397189.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png"
412,"Nick Smith Jr.","SG",19,"CHA",8,0,57,12,25,0.48,8,12,0.667,4,13,0.308,0.64,0,0,NA,2,3,5,2,1,2,2,5,32,"4683686","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683686.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png"
413,"Jeremy Sochan","PG",20,"SAS",19,19,551,85,190,0.447,18,42,0.429,67,148,0.453,0.495,34,43,0.791,28,74,102,84,14,4,46,56,222,"4610139","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4610139.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sas.png"
414,"Jaden Springer","SG",21,"PHI",11,0,127,13,37,0.351,3,12,0.25,10,25,0.4,0.392,6,8,0.75,12,10,22,10,5,6,12,18,35,"4432164","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432164.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phi.png"
415,"Lamar Stevens","PF",26,"BOS",6,0,20,4,7,0.571,1,1,1,3,6,0.5,0.643,0,0,NA,4,2,6,2,1,1,3,4,9,"4066405","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066405.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bos.png"
416,"Isaiah Stewart","PF",22,"DET",20,20,626,83,185,0.449,30,81,0.37,53,104,0.51,0.53,27,34,0.794,39,104,143,28,7,14,35,48,223,"4432810","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432810.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/det.png"
417,"Julian Strawther","SF",21,"DEN",18,0,227,34,89,0.382,19,59,0.322,15,30,0.5,0.489,7,10,0.7,1,21,22,18,5,5,3,28,94,"4432181","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432181.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/den.png"
418,"Max Strus","SF",27,"CLE",20,20,705,105,239,0.439,58,153,0.379,47,86,0.547,0.561,19,23,0.826,14,96,110,80,20,13,32,54,287,"4065778","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4065778.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png"
419,"Jalen Suggs","SG",22,"ORL",19,19,511,84,185,0.454,31,84,0.369,53,101,0.525,0.538,44,54,0.815,13,56,69,52,36,11,40,57,243,"4432165","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432165.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png"
420,"Cole Swider","SF",24,"MIA",3,0,29,6,14,0.429,4,11,0.364,2,3,0.667,0.571,0,0,NA,0,1,1,3,1,1,1,1,16,"4397134","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397134.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mia.png"
421,"Jae'Sean Tate","SF",28,"HOU",16,0,296,37,73,0.507,11,31,0.355,26,42,0.619,0.582,8,10,0.8,16,44,60,20,17,5,5,44,93,"3136777","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3136777.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png"
422,"Jayson Tatum","PF",25,"BOS",20,20,731,194,389,0.499,61,171,0.357,133,218,0.61,0.577,103,130,0.792,14,163,177,83,22,7,67,44,552,"4065648","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4065648.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bos.png"
423,"Terry Taylor","PF",24,"CHI",5,0,12,1,1,1,0,0,NA,1,1,1,1,0,0,NA,0,1,1,0,1,0,0,0,2,"4279815","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4279815.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/chi.png"
424,"Garrett Temple","SG",37,"TOR",5,0,16,4,5,0.8,1,1,1,3,4,0.75,0.9,2,2,1,0,2,2,2,1,0,0,0,11,"4023","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4023.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png"
425,"Dalen Terry","SG",21,"CHI",6,0,23,3,9,0.333,1,4,0.25,2,5,0.4,0.389,0,2,0,2,8,10,4,0,1,1,2,7,"4433159","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433159.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/chi.png"
426,"Daniel Theis","C",31,"LAC",10,0,163,31,66,0.47,3,9,0.333,28,57,0.491,0.492,5,10,0.5,17,21,38,12,3,8,6,26,70,"2451037","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2451037.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png"
427,"Cam Thomas","SG",22,"BKN",10,8,322,97,209,0.464,23,67,0.343,74,142,0.521,0.519,44,52,0.846,2,37,39,23,7,6,13,19,261,"4432174","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432174.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bkn.png"
428,"Amen Thompson","SF",21,"HOU",4,0,67,9,22,0.409,2,11,0.182,7,11,0.636,0.455,5,8,0.625,1,10,11,6,2,1,6,9,25,"4684740","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4684740.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png"
429,"Ausar Thompson","SF",21,"DET",20,18,565,89,193,0.461,5,37,0.135,84,156,0.538,0.474,30,43,0.698,63,119,182,53,20,29,43,75,213,"4684742","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4684742.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/det.png"
430,"Klay Thompson","SF",33,"GSW",19,19,567,103,254,0.406,53,147,0.361,50,107,0.467,0.51,40,46,0.87,12,61,73,43,8,11,38,44,299,"6475","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6475.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gsw.png"
431,"Tristan Thompson","PF",32,"CLE",15,0,132,15,22,0.682,0,0,NA,15,22,0.682,0.682,5,13,0.385,17,20,37,11,2,5,7,13,35,"6474","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6474.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png"
432,"JT Thor","PF",21,"CHA",17,1,280,26,62,0.419,12,33,0.364,14,29,0.483,0.516,0,4,0,14,35,49,10,4,5,4,21,64,"4702233","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4702233.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png"
433,"Matisse Thybulle","SF",26,"POR",19,9,431,42,89,0.472,27,70,0.386,15,19,0.789,0.624,6,8,0.75,6,25,31,22,27,15,14,22,117,"3907498","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3907498.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png"
434,"Xavier Tillman Sr.","C",25,"MEM",9,5,215,30,74,0.405,7,25,0.28,23,49,0.469,0.453,4,9,0.444,14,35,49,19,13,9,11,20,71,NA,"https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/NA.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png"
435,"Jacob Toppin","SF",23,"NYK",1,0,2,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,1,0,0,0,"4592461","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4592461.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/nyk.png"
436,"Obi Toppin","PF",25,"IND",19,18,473,98,162,0.605,24,65,0.369,74,97,0.763,0.679,28,34,0.824,16,41,57,25,13,12,15,37,248,"4278355","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278355.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png"
437,"Karl-Anthony Towns","PF",28,"MIN",19,19,636,154,306,0.503,41,98,0.418,113,208,0.543,0.57,72,79,0.911,21,150,171,59,18,14,56,65,421,"3136195","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3136195.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png"
438,"Gary Trent Jr.","SG",25,"TOR",17,2,438,69,173,0.399,32,88,0.364,37,85,0.435,0.491,17,30,0.567,4,30,34,22,14,2,11,18,187,"4277843","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277843.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png"
439,"P.J. Tucker","PF",38,"LAC",15,3,239,6,19,0.316,5,16,0.313,1,3,0.333,0.447,3,3,1,16,27,43,8,9,3,4,35,20,"3033","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3033.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png"
440,"Myles Turner","C",27,"IND",19,19,517,116,229,0.507,27,82,0.329,89,147,0.605,0.566,57,73,0.781,34,116,150,26,12,39,27,64,316,"3133628","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3133628.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png"
441,"Hunter Tyson","PF",23,"DEN",7,0,18,1,4,0.25,0,3,0,1,1,1,0.25,0,0,NA,0,4,4,1,0,0,0,5,2,"4395620","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395620.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/den.png"
442,"Stanley Umude","SG",24,"DET",15,0,155,20,44,0.455,14,27,0.519,6,17,0.353,0.614,21,23,0.913,3,25,28,8,4,5,10,24,75,"4279532","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4279532.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/det.png"
443,"Jonas Valanciunas","C",31,"NO",22,22,590,122,215,0.567,15,40,0.375,107,175,0.611,0.602,53,65,0.815,53,147,200,50,8,27,26,71,312,"6477","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6477.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png"
444,"Jarred Vanderbilt","PF",24,"LAL",2,0,29,0,4,0,0,4,0,0,0,NA,0,1,2,0.5,5,5,10,3,1,0,1,3,1,"4278077","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278077.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png"
445,"Fred VanVleet","PG",29,"HOU",16,16,604,89,227,0.392,49,130,0.377,40,97,0.412,0.5,37,41,0.902,5,62,67,145,11,7,25,29,264,"2991230","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2991230.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png"
446,"Devin Vassell","SG",23,"SAS",14,8,394,92,186,0.495,38,93,0.409,54,93,0.581,0.597,34,43,0.791,6,39,45,38,14,1,21,16,256,"4395630","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395630.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sas.png"
447,"Sasha Vezenkov","PF",28,"SAC",16,0,225,35,83,0.422,20,54,0.37,15,29,0.517,0.542,4,6,0.667,7,30,37,4,6,5,5,20,94,"3893014","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3893014.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png"
448,"Gabe Vincent","PG",27,"LAL",4,0,113,11,28,0.393,1,14,0.071,10,14,0.714,0.411,1,2,0.5,2,2,4,12,6,0,2,10,24,"3137259","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3137259.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png"
449,"Nikola Vucevic","C",33,"CHI",21,21,720,140,309,0.453,18,74,0.243,122,235,0.519,0.482,30,36,0.833,52,157,209,68,19,14,38,61,328,"6478","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6478.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/chi.png"
450,"Dean Wade","PF",27,"CLE",13,7,264,13,40,0.325,12,38,0.316,1,2,0.5,0.475,2,4,0.5,12,41,53,11,11,3,5,29,40,"3912848","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3912848.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png"
451,"Franz Wagner","SF",22,"ORL",20,20,657,153,328,0.466,33,101,0.327,120,227,0.529,0.517,75,89,0.843,24,91,115,70,21,8,35,43,414,"4566434","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4566434.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png"
452,"Moritz Wagner","C",26,"ORL",20,0,389,100,158,0.633,13,35,0.371,87,123,0.707,0.674,47,57,0.825,31,55,86,24,9,9,28,49,260,"3150844","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3150844.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png"
453,"Ish Wainright","SF",29,"POR",2,0,5,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,0,1,0,0,1,0,"3059307","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3059307.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png"
454,"Jabari Walker","SF",21,"POR",19,0,330,51,114,0.447,10,38,0.263,41,76,0.539,0.491,21,29,0.724,28,64,92,12,15,8,18,42,133,"4432446","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432446.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png"
455,"Jarace Walker","PF",20,"IND",5,0,41,7,18,0.389,0,5,0,7,13,0.538,0.389,3,3,1,1,7,8,6,2,2,1,4,17,"5106060","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5106060.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png"
456,"Lonnie Walker IV","SG",25,"BKN",17,0,362,88,180,0.489,44,95,0.463,44,85,0.518,0.611,29,38,0.763,3,42,45,28,10,7,25,16,249,"4277890","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277890.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bkn.png"
457,"Cason Wallace","SG",20,"OKC",19,4,416,55,92,0.598,21,40,0.525,34,52,0.654,0.712,11,13,0.846,11,34,45,26,10,7,10,31,142,"4683692","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683692.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/okc.png"
