"rk","name","pos","age","team_abbr","g","gs","mp","fg","fga","fg_percent","x3p","x3pa","x3p_percent","x2p","x2pa","x2p_percent","e_fg_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","id","player_image","team_logo"
255,"E.J. Liddell","PF",23,"NO",3,0,9,1,4,0.25,0,3,0,1,1,1,0.25,2,2,1,0,2,2,0,0,1,1,1,4,"4432821","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432821.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png"
256,"Damian Lillard","PG",33,"MIL",19,19,664,140,321,0.436,56,159,0.352,84,162,0.519,0.523,151,164,0.921,14,71,85,132,20,3,53,29,487,"6606","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6606.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png"
257,"Nassir Little","PF",23,"PHO",15,0,225,29,60,0.483,11,33,0.333,18,27,0.667,0.575,14,16,0.875,8,25,33,11,9,8,6,19,83,"4395652","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395652.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/pho.png"
258,"Dereck Lively II","C",19,"DAL",17,16,427,65,90,0.722,0,2,0,65,88,0.739,0.722,16,27,0.593,51,82,133,21,10,26,19,54,146,"4683688","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683688.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png"
259,"Isaiah Livers","PF",25,"DET",6,1,135,14,40,0.35,9,27,0.333,5,13,0.385,0.463,5,7,0.714,4,10,14,7,1,0,10,10,42,"4277957","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277957.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/det.png"
260,"Chris Livingston","SF",20,"MIL",3,0,12,2,3,0.667,1,1,1,1,2,0.5,0.833,0,0,NA,1,1,2,1,1,0,1,0,5,"4433622","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433622.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png"
261,"Kenneth Lofton Jr.","PF",21,"MEM",13,0,94,13,34,0.382,2,8,0.25,11,26,0.423,0.412,6,13,0.462,2,12,14,12,2,3,6,15,34,"4585610","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4585610.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png"
262,"Kevon Looney","C",27,"GSW",20,17,464,48,82,0.585,0,0,NA,48,82,0.585,0.585,19,27,0.704,58,115,173,56,15,7,19,55,115,"3155535","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3155535.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gsw.png"
263,"Brook Lopez","C",35,"MIL",21,21,629,105,207,0.507,38,106,0.358,67,101,0.663,0.599,30,37,0.811,29,77,106,30,19,58,19,51,278,"3448","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3448.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png"
264,"Robin Lopez","C",35,"MIL",4,0,12,0,1,0,0,1,0,0,0,NA,0,2,2,1,0,0,0,1,0,0,1,2,2,"3447","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3447.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png"
265,"Kevin Love","PF",35,"MIA",14,4,248,33,85,0.388,20,60,0.333,13,25,0.52,0.506,24,29,0.828,15,76,91,35,2,0,8,27,110,"3449","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3449.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mia.png"
266,"Kyle Lowry","PG",37,"MIA",19,19,557,59,133,0.444,40,90,0.444,19,43,0.442,0.594,20,22,0.909,17,63,80,82,23,5,25,54,178,"3012","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3012.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mia.png"
267,"Trey Lyles","PF",28,"SAC",6,0,123,14,37,0.378,7,26,0.269,7,11,0.636,0.473,11,17,0.647,8,23,31,9,0,1,7,15,46,"3136196","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3136196.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png"
268,"Theo Maledon","PG",22,"CHA",13,1,200,19,66,0.288,5,30,0.167,14,36,0.389,0.326,11,12,0.917,4,19,23,28,7,0,15,18,54,"4683027","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683027.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png"
269,"Sandro Mamukelashvili","C",24,"SAS",7,0,55,6,15,0.4,2,7,0.286,4,8,0.5,0.467,5,6,0.833,6,7,13,8,2,1,3,8,19,"4278580","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278580.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sas.png"
270,"Terance Mann","SG",27,"LAC",13,9,346,35,81,0.432,6,35,0.171,29,46,0.63,0.469,8,13,0.615,16,35,51,28,11,5,9,26,84,"3907823","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3907823.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png"
271,"Tre Mann","PG",22,"OKC",6,0,47,10,18,0.556,3,8,0.375,7,10,0.7,0.639,1,1,1,3,9,12,8,1,0,5,1,24,"4432819","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432819.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/okc.png"
272,"Boban Marjanovic","C",35,"HOU",3,0,20,5,9,0.556,0,1,0,5,8,0.625,0.556,0,1,0,2,6,8,3,0,1,0,2,10,"4376","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4376.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png"
273,"Lauri Markkanen","PF",26,"UTAH",15,15,512,122,252,0.484,49,128,0.383,73,124,0.589,0.581,63,75,0.84,36,94,130,16,17,13,20,34,356,"4066336","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066336.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png"
274,"Naji Marshall","SF",26,"NO",13,0,277,37,81,0.457,15,37,0.405,22,44,0.5,0.549,26,31,0.839,18,43,61,29,11,4,17,19,115,"4278594","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278594.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png"
275,"Caleb Martin","SF",28,"MIA",10,0,229,40,96,0.417,10,34,0.294,30,62,0.484,0.469,9,11,0.818,10,21,31,17,10,0,12,19,99,"3138160","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3138160.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mia.png"
276,"KJ Martin","SF",23,"PHI",11,0,85,8,22,0.364,1,6,0.167,7,16,0.438,0.386,3,6,0.5,3,9,12,4,5,1,5,14,20,"4431828","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431828.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phi.png"
277,"Garrison Mathews","SG",27,"ATL",7,0,47,4,11,0.364,4,11,0.364,0,0,NA,0.545,0,0,NA,2,5,7,1,1,0,1,4,12,"3913180","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3913180.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png"
278,"Bennedict Mathurin","SF",21,"IND",19,12,470,92,206,0.447,24,65,0.369,68,141,0.482,0.505,42,54,0.778,21,51,72,37,11,3,25,36,250,"4683634","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683634.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png"
